game_date,game_time
05/03/2019,19:00:00
05/06/2019,18:30:00
05/07/2019,18:30:00
05/08/2019,18:30:00
05/09/2019,18:30:00
05/17/2019,19:00:00
05/28/2019,18:30:00
05/31/2019,19:00:00
06/11/2019,19:00:00
06/17/2019,19:00:00
06/18/2019,19:00:00
06/20/2019,19:00:00
06/21/2019,19:00:00
06/24/2019,19:00:00
06/25/2019,19:00:00
07/12/2019,19:00:00
07/15/2019,19:00:00
07/16/2019,19:00:00
07/19/2019,19:00:00
07/30/2019,19:00:00
08/02/2019,19:00:00
08/12/2019,19:00:00
08/13/2019,19:00:00
08/15/2019,19:00:00
08/16/2019,19:00:00
08/30/2019,19:00:00
